OD,strain,ODb,biomass,time,carbon
0.562,ptsG,0.5258128415300545,0.002097993237704917,25.488888888888887,s
0.561,ptsG,0.5248128415300545,0.0020940032377049175,25.738888888888887,s
0.56,ptsG,0.5238128415300545,0.0020900132377049173,25.988888888888887,s
0.56,ptsG,0.5238128415300545,0.0020900132377049173,26.238888888888887,s
0.559,ptsG,0.5228128415300545,0.002086023237704917,26.488888888888887,s
0.559,ptsG,0.5228128415300545,0.002086023237704917,26.738888888888887,s
0.558,ptsG,0.5218128415300545,0.0020820332377049174,26.988888888888887,s
0.557,ptsG,0.5208128415300545,0.0020780432377049173,27.238888888888887,s
0.558,ptsG,0.5218128415300545,0.0020820332377049174,27.488888888888887,s
0.557,ptsG,0.5208128415300545,0.0020780432377049173,27.738888888888887,s
0.557,ptsG,0.5208128415300545,0.0020780432377049173,27.988888888888887,s
0.556,ptsG,0.5198128415300545,0.002074053237704917,28.238888888888887,s
0.556,ptsG,0.5198128415300545,0.002074053237704917,28.488888888888887,s
0.556,ptsG,0.5198128415300545,0.002074053237704917,28.738888888888887,s
0.555,ptsG,0.5188128415300545,0.0020700632377049174,28.988888888888887,s
0.555,ptsG,0.5188128415300545,0.0020700632377049174,29.238888888888887,s
0.555,ptsG,0.5188128415300545,0.0020700632377049174,29.488888888888887,s
0.555,ptsG,0.5188128415300545,0.0020700632377049174,29.738888888888887,s
0.554,ptsG,0.5178128415300545,0.0020660732377049172,29.988888888888887,s
0.554,ptsG,0.5178128415300545,0.0020660732377049172,30.238888888888887,s
0.037,ptsG,0.0008128415300543909,3.24323770491702e-06,0.0,s
0.042,ptsG,0.005812841530054395,2.3193237704917036e-05,0.2388888888888889,s
0.042,ptsG,0.005812841530054395,2.3193237704917036e-05,0.4888888888888889,s
0.042,ptsG,0.005812841530054395,2.3193237704917036e-05,0.7388888888888889,s
0.043,ptsG,0.006812841530054389,2.7183237704917013e-05,0.9888888888888889,s
0.043,ptsG,0.006812841530054389,2.7183237704917013e-05,1.2388888888888887,s
0.044,ptsG,0.00781284153005439,3.117323770491702e-05,1.4888888888888887,s
0.044,ptsG,0.00781284153005439,3.117323770491702e-05,1.7388888888888887,s
0.045,ptsG,0.008812841530054391,3.5163237704917024e-05,1.9888888888888887,s
0.045,ptsG,0.008812841530054391,3.5163237704917024e-05,2.238888888888889,s
0.046,ptsG,0.009812841530054392,3.9153237704917025e-05,2.488888888888889,s
0.047,ptsG,0.010812841530054393,4.3143237704917026e-05,2.738888888888889,s
0.048,ptsG,0.011812841530054394,4.7133237704917033e-05,2.988888888888889,s
0.049,ptsG,0.012812841530054395,5.1123237704917034e-05,3.238888888888889,s
0.05,ptsG,0.013812841530054396,5.511323770491704e-05,3.488888888888889,s
0.051,ptsG,0.01481284153005439,5.9103237704917015e-05,3.738888888888889,s
0.052,ptsG,0.01581284153005439,6.309323770491702e-05,3.988888888888889,s
0.054,ptsG,0.017812841530054392,7.107323770491703e-05,4.238888888888889,s
0.055,ptsG,0.018812841530054393,7.506323770491703e-05,4.488888888888889,s
0.057,ptsG,0.020812841530054395,8.304323770491704e-05,4.738888888888889,s
0.058,ptsG,0.021812841530054396,8.703323770491703e-05,4.988888888888889,s
0.06,ptsG,0.02381284153005439,9.501323770491702e-05,5.238888888888889,s
0.062,ptsG,0.025812841530054392,0.00010299323770491702,5.488888888888889,s
0.065,ptsG,0.028812841530054395,0.00011496323770491705,5.738888888888889,s
0.067,ptsG,0.030812841530054397,0.00012294323770491706,5.988888888888889,s
0.07,ptsG,0.0338128415300544,0.00013491323770491704,6.238888888888889,s
0.074,ptsG,0.03781284153005439,0.00015087323770491702,6.488888888888889,s
0.077,ptsG,0.04081284153005439,0.00016284323770491703,6.738888888888889,s
0.082,ptsG,0.045812841530054396,0.00018279323770491705,6.988888888888889,s
0.087,ptsG,0.05081284153005439,0.00020274323770491702,7.238888888888889,s
0.091,ptsG,0.05481284153005439,0.000218703237704917,7.488888888888889,s
0.098,ptsG,0.061812841530054397,0.00024663323770491706,7.738888888888889,s
0.105,ptsG,0.06881284153005439,0.000274563237704917,7.988888888888889,s
0.111,ptsG,0.0748128415300544,0.00029850323770491704,8.238888888888889,s
0.118,ptsG,0.08181284153005439,0.000326433237704917,8.488888888888889,s
0.126,ptsG,0.0898128415300544,0.000358353237704917,8.738888888888889,s
0.139,ptsG,0.1028128415300544,0.0004102232377049171,8.988888888888889,s
0.155,ptsG,0.11881284153005439,0.00047406323770491705,9.238888888888889,s
0.161,ptsG,0.1248128415300544,0.0004980032377049171,9.488888888888889,s
0.167,ptsG,0.1308128415300544,0.000521943237704917,9.738888888888889,s
0.183,ptsG,0.1468128415300544,0.000585783237704917,9.988888888888889,s
0.216,ptsG,0.1798128415300544,0.000717453237704917,10.238888888888889,s
0.252,ptsG,0.2158128415300544,0.000861093237704917,10.488888888888889,s
0.293,ptsG,0.25681284153005435,0.001024683237704917,10.738888888888889,s
0.325,ptsG,0.2888128415300544,0.001152363237704917,10.988888888888889,s
0.346,ptsG,0.3098128415300544,0.001236153237704917,11.238888888888889,s
0.37,ptsG,0.3338128415300544,0.001331913237704917,11.488888888888889,s
0.384,ptsG,0.34781284153005443,0.0013877732377049173,11.738888888888889,s
0.401,ptsG,0.36481284153005444,0.0014556032377049171,11.988888888888889,s
0.411,ptsG,0.37481284153005434,0.001495503237704917,12.238888888888889,s
0.429,ptsG,0.39281284153005436,0.001567323237704917,12.488888888888889,s
0.428,ptsG,0.39181284153005436,0.001563333237704917,12.738888888888889,s
0.442,ptsG,0.40581284153005437,0.001619193237704917,12.988888888888889,s
0.459,ptsG,0.4228128415300544,0.001687023237704917,13.238888888888889,s
0.456,ptsG,0.4198128415300544,0.0016750532377049169,13.488888888888889,s
0.445,ptsG,0.40881284153005437,0.001631163237704917,13.738888888888889,s
0.455,ptsG,0.4188128415300544,0.001671063237704917,13.988888888888889,s
0.462,ptsG,0.4258128415300544,0.001698993237704917,14.238888888888889,s
0.481,ptsG,0.4448128415300544,0.001774803237704917,14.488888888888889,s
0.502,ptsG,0.4658128415300544,0.001858593237704917,14.738888888888889,s
0.524,ptsG,0.48781284153005444,0.001946373237704917,14.988888888888889,s
0.544,ptsG,0.5078128415300545,0.002026173237704917,15.238888888888889,s
0.566,ptsG,0.5298128415300544,0.002113953237704917,15.488888888888889,s
0.592,ptsG,0.5558128415300544,0.002217693237704917,15.738888888888889,s
0.597,ptsG,0.5608128415300544,0.002237643237704917,15.988888888888889,s
0.6,ptsG,0.5638128415300544,0.002249613237704917,16.23888888888889,s
0.608,ptsG,0.5718128415300544,0.002281533237704917,16.48888888888889,s
0.613,ptsG,0.5768128415300544,0.002301483237704917,16.73888888888889,s
0.613,ptsG,0.5768128415300544,0.002301483237704917,16.98888888888889,s
0.625,ptsG,0.5888128415300544,0.002349363237704917,17.238888888888887,s
0.625,ptsG,0.5888128415300544,0.002349363237704917,17.488888888888887,s
